"Region","mean10","mean11","mean12","mean13","mean14","mean15","mean16","Delta"
"East",21655,20938,22828,21766,24536,25430,24934,3279
"East_Midlands",18938,18612,18770,19121,21096,22332,22637,3699
"London",23685,24646,27167,23854,25311,27258,26510,2826
"North_East",18016,18069,18156,17126,18977,21650,20740,2723
"North_West",18154,18127,18990,18989,20307,21204,20866,2712
"Northern_Ireland",16824,16923,18013,17719,18848,19348,19944,3120
"Scotland",18810,18248,19828,20218,22517,22695,23009,4199
"South_East",22838,24228,23525,23801,27685,28370,26503,3665
"South_West",20572,20363,21451,20755,21791,23823,23541,2969
"Wales",18751,18346,17249,17419,21009,19857,19445,693
"West_Midlands",19281,19070,19459,18409,20294,21594,21506,2224
"Yorkshire",18250,19101,18206,19172,21114,21431,21438,3187
